상품명,가격,평점,리뷰 수,링크,이미지 파일
"곰곰 페루산 아보카도, 1kg, 1개",0,0.0,0,https://www.coupang.com/vp/products/5813357325?itemId=7484927420&vendorItemId=74775723488&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 페루산 아보카도, 1kg, 1개.jpg"
"당도선별 11brix 수박, 5kg이상, 1개",0,0.0,0,https://www.coupang.com/vp/products/7251153411?itemId=25717086966&vendorItemId=85586788429&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\당도선별 11brix 수박, 5kg이상, 1개.jpg"
"당도선별 11brix 수박, 8kg이상, 1개",0,0.0,0,https://www.coupang.com/vp/products/7251153411?itemId=25717098589&vendorItemId=86275611341&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\당도선별 11brix 수박, 8kg이상, 1개.jpg"
"곰곰 당도선별 수박 (11 brix 이상), 7kg 이상, 1통",0,0.0,0,https://www.coupang.com/vp/products/5341974172?itemId=8532631174&vendorItemId=75820067773&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 당도선별 수박 (11 brix 이상), 7kg 이상, 1통.jpg"
"한반도 비파괴 당도선별 샤인머스캣, 1kg(1~2수), 1개",0,0.0,0,https://www.coupang.com/vp/products/6125877934?itemId=19770462439&vendorItemId=86873562224&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\한반도 비파괴 당도선별 샤인머스캣, 1kg(1~2수), 1개.jpg"
"스미후루 감숙왕 파인애플, 1.2kg, 1개",0,0.0,0,https://www.coupang.com/vp/products/116251099?itemId=351069902&vendorItemId=70713189655&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\스미후루 감숙왕 파인애플, 1.2kg, 1개.jpg"
"광식이농장 GAP 인증 완숙 토마토, 1kg, 1팩",0,0.0,0,https://www.coupang.com/vp/products/7217231257?itemId=13051028811&vendorItemId=80313833615&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\광식이농장 GAP 인증 완숙 토마토, 1kg, 1팩.jpg"
"농협 유명산지 당도선별 부드러운 백도복숭아, 1.8kg(5~8입), 1박스",0,0.0,0,https://www.coupang.com/vp/products/7425374187?itemId=19272934682&vendorItemId=86388088074&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\농협 유명산지 당도선별 부드러운 백도복숭아, 1.8kg(5~8입), 1박스.jpg"
"귤탐 당도선별 11brix 감귤(로열과), 1.5kg, 1팩",0,0.0,0,https://www.coupang.com/vp/products/7851737197?itemId=16349390589&vendorItemId=73011570751&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\귤탐 당도선별 11brix 감귤(로열과), 1.5kg, 1팩.jpg"
"셀렉트팜 GAP 인증 A 초록사과 중과, 1.5kg(중과/7~8입), 1개",0,0.0,0,https://www.coupang.com/vp/products/7440092608?itemId=19344788872&vendorItemId=86458206329&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\셀렉트팜 GAP 인증 A 초록사과 중과, 1.5kg(중과7~8입), 1개.jpg"
"씨적은 11brix 수박, 7kg 이상, 1개",0,0.0,0,https://www.coupang.com/vp/products/8166614083?itemId=23304807301&vendorItemId=90336836340&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\씨적은 11brix 수박, 7kg 이상, 1개.jpg"
"샤인머스켓, 500g, 1개",0,0.0,0,https://www.coupang.com/vp/products/6640869895?itemId=15180142217&vendorItemId=82401418729&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\샤인머스켓, 500g, 1개.jpg"
"수플린 체리, 1kg, 1팩",0,0.0,0,https://www.coupang.com/vp/products/7338255607?itemId=18854677799&vendorItemId=85983881670&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\수플린 체리, 1kg, 1팩.jpg"
"곰곰 국내산 블루베리 100g(대), 100g, 1개",0,0.0,0,https://www.coupang.com/vp/products/7327944530?itemId=18169471868&vendorItemId=85318909262&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 국내산 블루베리 100g(대), 100g, 1개.jpg"
"천도복숭아, 800g, 1팩",0,0.0,0,https://www.coupang.com/vp/products/6567783804?itemId=14731305706&vendorItemId=81971883746&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\천도복숭아, 800g, 1팩.jpg"
"델몬트 골드파인, 545g, 1개",0,0.0,0,https://www.coupang.com/vp/products/6486490867?itemId=14221259187&vendorItemId=81466621148&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\델몬트 골드파인, 545g, 1개.jpg"
"다조은 청송 주왕산 당도선별 사과, 1.5kg(중과, 6~7입), 1개",0,0.0,0,https://www.coupang.com/vp/products/6283834976?itemId=12915952891&vendorItemId=80180700054&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\다조은 청송 주왕산 당도선별 사과, 1.5kg(중과, 6~7입), 1개.jpg"
"새콤 달콤한 자두 대과, 1kg, 1개",0,0.0,0,https://www.coupang.com/vp/products/233608548?itemId=741825495&vendorItemId=4873370491&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\새콤 달콤한 자두 대과, 1kg, 1개.jpg"
"하늘작 충주 당도선별 부드러운 황도복숭아, 1.8kg(5~8입), 1개",0,0.0,0,https://www.coupang.com/vp/products/6667495301?itemId=15327883191&vendorItemId=82548190707&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\하늘작 충주 당도선별 부드러운 황도복숭아, 1.8kg(5~8입), 1개.jpg"
"곰곰 냉동 블루베리, 1kg, 1개",0,0.0,0,https://www.coupang.com/vp/products/6627109979?itemId=933346428&vendorItemId=5313167830&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 냉동 블루베리, 1kg, 1개.jpg"
"미국산 체리, 500g, 1개",0,0.0,0,https://www.coupang.com/vp/products/1600464072?itemId=8582648717&vendorItemId=75869957829&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\미국산 체리, 500g, 1개.jpg"
"곰곰 고당도 한입 감귤, 500g, 1팩",0,0.0,0,https://www.coupang.com/vp/products/7324835157?itemId=18794061375&vendorItemId=85925059686&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 고당도 한입 감귤, 500g, 1팩.jpg"
"한반도 까망 애플수박, 2kg 미만, 1개",0,0.0,0,https://www.coupang.com/vp/products/7443096333?itemId=19359038274&vendorItemId=86472072088&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\한반도 까망 애플수박, 2kg 미만, 1개.jpg"
"항공직송 미국 체리, 700g, 2개",0,0.0,0,https://www.coupang.com/vp/products/5464891880?itemId=19225407218&vendorItemId=86342056078&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\항공직송 미국 체리, 700g, 2개.jpg"
"돌 코리아 바나나, 1kg, 1개",0,0.0,0,https://www.coupang.com/vp/products/6398359177?itemId=591060021&vendorItemId=4547871436&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\돌 코리아 바나나, 1kg, 1개.jpg"
"못난이 사과, 1.5kg(소과, 8~10입), 1팩",0,0.0,0,https://www.coupang.com/vp/products/7792711474?itemId=21086377969&vendorItemId=88148455147&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\못난이 사과, 1.5kg(소과, 8~10입), 1팩.jpg"
"곰곰 당도선별 신고배, 1kg(2입), 1팩",0,0.0,0,https://www.coupang.com/vp/products/6756609752?itemId=15820752785&vendorItemId=83032634250&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 당도선별 신고배, 1kg(2입), 1팩.jpg"
