국가,지수명,가격,일별 변동,일별 %,주간 %,월간 %,YTD %,YoY %,날짜,국기 파일 경로
ID,JCI,7615,71,0.94%,2.93%,9.92%,7.55%,4.47%,2025-07-28,flags\ID.png
SA,TASI,10902,55,-0.50%,-0.73%,-2.69%,-9.43%,-10.06%,2025-07-28,flags\SA.png
TW,Taiwan Stock Market Index,23413,49,0.21%,0.31%,5.20%,1.64%,5.63%,2025-07-28,flags\TW.png
AE,ADX General,10362,22,0.21%,1.25%,4.06%,10.01%,10.29%,2025-07-28,flags\AE.png
TH,SET 50,798,4,0.51%,1.09%,10.48%,-11.94%,-2.83%,2025-07-25,flags\TH.png
MY,FKLCI,1531,2,0.10%,0.76%,-0.13%,-6.78%,-5.02%,2025-07-29,flags\MY.png
SG,STI,4233,9,-0.20%,0.58%,6.77%,11.75%,22.98%,2025-07-29,flags\SG.png
IL,TA-125,3105,19,0.63%,-0.40%,3.07%,27.93%,54.37%,2025-07-28,flags\IL.png
HK,HK50,25344,218,-0.85%,0.85%,5.28%,26.34%,49.06%,2025-07-29,flags\HK.png
PH,PSEi,6380,33,-0.52%,0.43%,0.23%,-2.28%,-4.05%,2025-07-28,flags\PH.png
PK,KSE 100,139462,254,0.18%,0.90%,11.01%,21.14%,76.92%,2025-07-28,flags\PK.png
KZ,KASE,6463,1,-0.01%,3.21%,8.60%,15.86%,22.96%,2025-07-25,flags\KZ.png
QA,QE,11205,44,-0.39%,1.66%,4.06%,6.00%,10.18%,2025-07-28,flags\QA.png
VN,HNX,263.79,9.23,3.63%,7.32%,15.08%,15.99%,11.06%,2025-07-28,flags\VN.png
VN,VN,1557,26,1.72%,4.87%,13.18%,22.94%,24.93%,2025-07-28,flags\VN.png
OM,MSM 30,4743,3,0.06%,0.00%,5.38%,3.64%,1.96%,2025-07-28,flags\OM.png
LK,ASPI,19518,50,0.26%,2.49%,8.27%,22.41%,67.98%,2025-07-28,flags\LK.png
LB,Blom,2039,1,0.03%,-1.13%,-11.14%,-19.01%,12.18%,2025-07-28,flags\LB.png
JO,ASE,2921,3,0.11%,1.22%,6.11%,17.38%,20.79%,2025-07-28,flags\JO.png
LA,LSX Composite,1465,6,0.41%,5.30%,12.40%,27.39%,41.88%,2025-07-28,flags\LA.png
MN,MSE 20,49602,115,0.23%,0.21%,0.72%,-3.30%,1.08%,2025-07-28,flags\MN.png
AE,DFM General,6168,17,0.28%,2.03%,8.10%,19.56%,43.15%,2025-07-28,flags\AE.png
KW,Kuwait All Share,8573.03,19.23,-0.22%,-0.34%,1.59%,16.44%,19.44%,2025-07-27,flags\KW.png
JP,JPVIX,22.85,0.68,3.07%,-0.31%,-7.08%,4.86%,6.63%,2025-07-28,flags\JP.png
IN,NIFTY 50,24681,156,-0.63%,-1.63%,-3.28%,4.38%,-0.62%,2025-07-28,flags\IN.png
IR,TEDPIX,2768000.00,"34,000.00",1.24%,0.00%,1.35%,-0.73%,33.83%,2025-07-28,flags\IR.png
BH,Estirad,1950.90,2.20,-0.11%,0.68%,0.70%,-1.76%,-1.07%,2025-07-28,flags\BH.png
AU,Australia All Ordinaries,8945,19,-0.21%,0.03%,1.95%,6.22%,9.39%,2025-07-29,flags\AU.png
AU,ASX200,8649,48,-0.56%,-0.32%,1.25%,6.01%,8.75%,2025-07-29,flags\AU.png
AU,AU50,8479,12,-0.14%,0.26%,1.27%,5.71%,8.11%,2025-07-29,flags\AU.png
NZ,NZX 50,12897,5,0.04%,0.49%,2.33%,-1.63%,4.08%,2025-07-29,flags\NZ.png
NG,NSE-All Share,135167,714,0.53%,2.53%,12.66%,31.32%,37.74%,2025-07-28,flags\NG.png
ZA,SA40,91097,206,-0.23%,-0.98%,2.64%,20.85%,23.32%,2025-07-28,flags\ZA.png
ZA,SAALL,98696,222,-0.22%,-0.96%,2.35%,17.36%,21.83%,2025-07-28,flags\ZA.png
EG,EGX 30,34076,478,-1.38%,-0.16%,2.62%,14.58%,18.11%,2025-07-28,flags\EG.png
MA,CFG 25,19313,91,-0.47%,0.72%,5.56%,30.73%,38.90%,2025-07-28,flags\MA.png
KE,Nairobi 20,2544,8,0.30%,1.44%,4.23%,26.50%,51.40%,2025-07-28,flags\KE.png
KE,Nairobi All Share,162,1,0.64%,1.84%,5.29%,30.83%,54.42%,2025-07-28,flags\KE.png
TZ,DSEI,2426,7,0.30%,0.43%,2.92%,13.39%,17.29%,2025-07-28,flags\TZ.png
TN,TUN,11856,19,-0.16%,0.40%,2.41%,19.11%,20.40%,2025-07-28,flags\TN.png
GH,GGSECI,6645,28,-0.42%,3.22%,6.35%,35.93%,47.98%,2025-07-28,flags\GH.png
MU,SEMDEX,2405,7,0.30%,2.08%,4.18%,0.10%,14.10%,2025-07-28,flags\MU.png
UG,USE All Share,1336.24,7.85,0.59%,0.79%,4.31%,11.84%,30.83%,2025-07-25,flags\UG.png
NA,NSX Overall,1787,5,-0.26%,-1.21%,0.00%,-0.76%,-1.00%,2025-07-28,flags\NA.png
BW,Gaborone,10497,0,0.00%,0.01%,0.90%,4.46%,9.64%,2025-07-28,flags\BW.png
ZW,ZSI Industrials,197.68,2.99,1.54%,0.16%,0.97%,-9.06%,-2.07%,2025-07-24,flags\ZW.png
